$ paste ~/anti.a.txt ~/anti.b.txt | awk '{ print $1, $2, $4}'

antiabolicionismo	ˌɐ̃ntʃiʲˌabolˌisjonˈizmʊ	ˌɐ̃ntʃiʲˌabolˌisjonˈizmʊ
antiabolicionismos	ˌɐ̃ntʃiʲˌabolˌisjonˈizmʊs	ˌɐ̃ntʃiʲˌabolˌisjonˈizmʊs
antiabolicionista	ˌɐ̃ntʃiʲˌabolˌisjonˈistɐ	ˌɐ̃ntʃiʲˌabolˌisjonˈistɐ
antiabolicionistas	ˌɐ̃ntʃiʲˌabolˌisjonˈistɐs	ˌɐ̃ntʃiʲˌabolˌisjonˈistɐs
antiabortivo	ˌɐ̃ntʃiʲˌaboɾtʃˈivʊ	ˌɐ̃ntʃiʲˌaboɾtʃˈivʊ
antiaborto	ˌɐ̃ntʃiʲabˈoɾtʊ	ˌɐ̃ntʃiʲˌabˈoɾtʊ
antiabortos	ˌɐ̃ntʃiʲabˈɔɾtʊs	ˌɐ̃ntʃiʲˌabˈoɾtʊs
antiacadémico	ˌɐ̃ntʃiʲˌakadˈɛmikʊ	ˌɐ̃ntʃiʲˌakadˈɛmikʊ
antiácido	ˌɐ̃ntʃiʲˈasidʊ	ˌɐ̃ntʃiʲˈasidʊ
antiácidos	ˌɐ̃ntʃiʲˈasidʊs	ˌɐ̃ntʃiʲˈasidʊs
antiaérea	ˌɐ̃ntʃiʲaˈɛɾeɐ	ˌɐ̃ntʃiʲˌaˈɛɾeɐ
antiaéreas	ˌɐ̃ntʃiʲaˈɛɾeɐs	ˌɐ̃ntʃiʲˌaˈɛɾeɐs
antiaéreo	ˌɐ̃ntʃiʲaˈɛɾeʊ	ˌɐ̃ntʃiʲˌaˈɛɾeʊ
antiaéreos	ˌɐ̃ntʃiʲaˈɛɾeʊs	ˌɐ̃ntʃiʲˌaˈɛɾeʊs
antialcalino	ˌɐ̃ntʃiʲˌaʊkalˈinʊ	ˌɐ̃ntʃiʲˌaʊkalˈinʊ
antialcoólico	ˌɐ̃ntʃiʲˌaʊkoˈɔlikʊ	ˌɐ̃ntʃiʲˌaʊkoˈɔlikʊ
antialcoolismo	ˌɐ̃ntʃiʲˌaʊkoolˈizmʊ	ˌɐ̃ntʃiʲˌaʊkoolˈizmʊ
antialcoolismos	ˌɐ̃ntʃiʲˌaʊkoolˈizmʊs	ˌɐ̃ntʃiʲˌaʊkoolˈizmʊs
antialérgico	ˌɐ̃ntʃiʲalˈɛɾʒikʊ	ˌɐ̃ntʃiʲˌalˈɛɾʒikʊ
antialérgicos	ˌɐ̃ntʃiʲalˈɛɾʒikʊs	ˌɐ̃ntʃiʲˌalˈɛɾʒikʊs
antiaristocrata	ˌɐ̃ntʃiʲˌaɾistokɾˈatɐ	ˌɐ̃ntʃiʲˌaɾistokɾˈatɐ
antiaristocratas	ˌɐ̃ntʃiʲˌaɾistokɾˈatɐs	ˌɐ̃ntʃiʲˌaɾistokɾˈatɐs
antiaristocrática	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikɐ	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikɐ
antiaristocráticas	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikɐs	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikɐs
antiaristocrático	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikʊ	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikʊ
antiaristocráticos	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikʊs	ˌɐ̃ntʃiʲˌaɾistokɾˈatʃikʊs
antiartístico	ˌɐ̃ntʃiʲaɾtʃˈistʃikʊ	ˌɐ̃ntʃiʲˌaɾtʃˈistʃikʊ
antiartrítica	ˌɐ̃ntʃiʲaɾtɾˈitʃikɐ	ˌɐ̃ntʃiʲˌaɾtɾˈitʃikɐ
antiartríticas	ˌɐ̃ntʃiʲaɾtɾˈitʃikɐs	ˌɐ̃ntʃiʲˌaɾtɾˈitʃikɐs
antiartrítico	ˌɐ̃ntʃiʲaɾtɾˈitʃikʊ	ˌɐ̃ntʃiʲˌaɾtɾˈitʃikʊ
antiartríticos	ˌɐ̃ntʃiʲaɾtɾˈitʃikʊs	ˌɐ̃ntʃiʲˌaɾtɾˈitʃikʊs
antiasmática	ˌɐ̃ntʃiʲazmˈatʃikɐ	ˌɐ̃ntʃiʲˌazmˈatʃikɐ
antiasmáticas	ˌɐ̃ntʃiʲazmˈatʃikɐs	ˌɐ̃ntʃiʲˌazmˈatʃikɐs
antiasmático	ˌɐ̃ntʃiʲazmˈatʃikʊ	ˌɐ̃ntʃiʲˌazmˈatʃikʊ
antiasmáticos	ˌɐ̃ntʃiʲazmˈatʃikʊs	ˌɐ̃ntʃiʲˌazmˈatʃikʊs
antibiose	ˌɐ̃ntʃibiʲˈɔzɪ	ˌɐ̃ntʃibˌiʲˈɔzɪ
antibioterapia	ˌɐ̃ntʃibˌiʲotˌeɾapˈiʲɐ	ˌɐ̃ntʃibˌiʲotˌeɾapˈiʲɐ
antibiótico	ˌɐ̃ntʃibiʲˈɔtʃikʊ	ˌɐ̃ntʃibˌiʲˈɔtʃikʊ
antibioticoprofilaxia	ˌɐ̃ntʃibˌiʲotʃˌikopɾˌofilaksˈiʲɐ	ˌɐ̃ntʃibˌiʲotʃˌikopɾˌofilaksˈiʲɐ
antibioticoprofilaxias	ˌɐ̃ntʃibˌiʲotʃˌikopɾˌofilaksˈiʲɐs	ˌɐ̃ntʃibˌiʲotʃˌikopɾˌofilaksˈiʲɐs
antibióticos	ˌɐ̃ntʃibiʲˈɔtʃikʊs	ˌɐ̃ntʃibˌiʲˈɔtʃikʊs
antibioticoterapia	ˌɐ̃ntʃibˌiʲotʃˌikotˌeɾapˈiʲɐ	ˌɐ̃ntʃibˌiʲotʃˌikotˌeɾapˈiʲɐ
antibioticoterapias	ˌɐ̃ntʃibˌiʲotʃˌikotˌeɾapˈiʲɐs	ˌɐ̃ntʃibˌiʲotʃˌikotˌeɾapˈiʲɐs
anticancerosa	ˌɐ̃ntʃikˌɐ̃nseɾˈɔzɐ	ˌɐ̃ntʃikˌɐ̃nseɾˈɔzɐ
anticancerosas	ˌɐ̃ntʃikˌɐ̃nseɾˈɔzɐs	ˌɐ̃ntʃikˌɐ̃nseɾˈɔzɐs
anticanceroso	ˌɐ̃ntʃikˌɐ̃nseɾˈozʊ	ˌɐ̃ntʃikˌɐ̃nseɾˈozʊ
anticancerosos	ˌɐ̃ntʃikˌɐ̃nseɾˈɔzʊs	ˌɐ̃ntʃikˌɐ̃nseɾˈɔzʊs
anticarrinho	ˌɐ̃ntʃikaxˈiɲʊ	ˌɐ̃ntʃikˌaxˈiɲʊ
anticarrinhos	ˌɐ̃ntʃikaxˈiɲʊs	ˌɐ̃ntʃikˌaxˈiɲʊs
anticarro	ˌɐ̃ntʃikˈaxʊ	ˌɐ̃ntʃikˈaxʊ
anticarros	ˌɐ̃ntʃikˈaxʊs	ˌɐ̃ntʃikˈaxʊs
anticatólica	ˌɐ̃ntʃikatˈɔlikɐ	ˌɐ̃ntʃikˌatˈɔlikɐ
anticatólicas	ˌɐ̃ntʃikatˈɔlikɐs	ˌɐ̃ntʃikˌatˈɔlikɐs
anticatolicismo	ˌɐ̃ntʃikˌatolisˈizmʊ	ˌɐ̃ntʃikˌatolisˈizmʊ
anticatolicismos	ˌɐ̃ntʃikˌatolisˈizmʊs	ˌɐ̃ntʃikˌatolisˈizmʊs
anticatólico	ˌɐ̃ntʃikatˈɔlikʊ	ˌɐ̃ntʃikˌatˈɔlikʊ
anticatólicos	ˌɐ̃ntʃikatˈɔlikʊs	ˌɐ̃ntʃikˌatˈɔlikʊs
anticética	ˌɐ̃ntʃisˈɛtʃikɐ	ˌɐ̃ntʃisˈɛtʃikɐ
anticéticas	ˌɐ̃ntʃisˈɛtʃikɐs	ˌɐ̃ntʃisˈɛtʃikɐs
anticético	ˌɐ̃ntʃisˈɛtʃikʊ	ˌɐ̃ntʃisˈɛtʃikʊ
anticéticos	ˌɐ̃ntʃisˈɛtʃikʊs	ˌɐ̃ntʃisˈɛtʃikʊs
anticiclone	ˌɐ̃ntʃisiklˈonɪ	ˌɐ̃ntʃisˌiklˈonɪ
anticiclones	ˌɐ̃ntʃisiklˈonɪs	ˌɐ̃ntʃisˌiklˈonɪs
anticientífico	ˌɐ̃ntʃisˌiʲeɪntʃˈifikʊ	ˌɐ̃ntʃisˌiʲeɪntʃˈifikʊ
anticívico	ˌɐ̃ntʃisˈivikʊ	ˌɐ̃ntʃisˈivikʊ
anticivismo	ˌɐ̃ntʃisivˈizmʊ	ˌɐ̃ntʃisivˈizmʊ
anticivismos	ˌɐ̃ntʃisivˈizmʊs	ˌɐ̃ntʃisˌivˈizmʊs
anticlássico	ˌɐ̃ntʃiklˈasikʊ	ˌɐ̃ntʃiklˈasikʊ
anticlericais	ˌɐ̃ntʃiklˌeɾikˈaɪs	ˌɐ̃ntʃiklˌeɾikˈaɪs
anticlerical	ˌɐ̃ntʃiklˌeɾikˈaʊ	ˌɐ̃ntʃiklˌeɾikˈaʊ
anticlericalismo	ˌɐ̃ntʃiklˌeɾikalˈizmʊ	ˌɐ̃ntʃiklˌeɾikalˈizmʊ
anticlericalismos	ˌɐ̃ntʃiklˌeɾikalˈizmʊs	ˌɐ̃ntʃiklˌeɾikalˈizmʊs
anticlinais	ˌɐ̃ntʃiklinˈaɪs	ˌɐ̃ntʃiklinˈaɪs
anticlinal	ˌɐ̃ntʃiklinˈaʊ	ˌɐ̃ntʃiklinˈaʊ
anticoagulante	ˌɐ̃ntʃikˌoaɡulˈɐ̃ntʃɪ	ˌɐ̃ntʃikˌoaɡulˈɐ̃ntʃɪ
anticoagulantes	ˌɐ̃ntʃikˌoaɡulˈɐ̃ntʃɪs	ˌɐ̃ntʃikˌoaɡulˈɐ̃ntʃɪs
anticolérico	ˌɐ̃ntʃikolˈɛɾikʊ	ˌɐ̃ntʃikˌolˈɛɾikʊ
anticoloniais	ˌɐ̃ntʃikˌoloniʲˈaɪs	ˌɐ̃ntʃikˌoloniʲˈaɪs
anticolonial	ˌɐ̃ntʃikˌoloniʲˈaʊ	ˌɐ̃ntʃikˌoloniʲˈaʊ
anticolonialismo	ˌɐ̃ntʃikˌolonˌiʲalˈizmʊ	ˌɐ̃ntʃikˌolonˌiʲalˈizmʊ
anticolonialismos	ˌɐ̃ntʃikˌolonˌiʲalˈizmʊs	ˌɐ̃ntʃikˌolonˌiʲalˈizmʊs
anticolonialista	ˌɐ̃ntʃikˌolonˌiʲalˈistɐ	ˌɐ̃ntʃikˌolonˌiʲalˈistɐ
anticolonialistas	ˌɐ̃ntʃikˌolonˌiʲalˈistɐs	ˌɐ̃ntʃikˌolonˌiʲalˈistɐs
anticomercial	ˌɐ̃ntʃikˌomeɾsiʲˈaʊ	ˌɐ̃ntʃikˌomeɾsiʲˈaʊ
anticoncecionais	ˌɐ̃ntʃikˌõnsesjonˈaɪs	ˌɐ̃ntʃikˌõnsesjonˈaɪs
anticoncecional	ˌɐ̃ntʃikˌõnsesjonˈaʊ	ˌɐ̃ntʃikˌõnsesjonˈaʊ
anticoncetivo	ˌɐ̃ntʃikˌõnsetʃˈivʊ	ˌɐ̃ntʃikˌõnsetʃˈivʊ
anticoncílio	ˌɐ̃ntʃikõnsˈiljʊ	ˌɐ̃ntʃikˌõnsˈiljʊ
anticonformista	ˌɐ̃ntʃikˌõnfoɾmˈistɐ	ˌɐ̃ntʃikˌõnfoɾmˈistɐ
anticonformistas	ˌɐ̃ntʃikˌõnfoɾmˈistɐs	ˌɐ̃ntʃikˌõnfoɾmˈistɐs
anticongelante	ˌɐ̃ntʃikˌõnʒelˈɐ̃ntʃɪ	ˌɐ̃ntʃikˌõnʒelˈɐ̃ntʃɪ
anticongelantes	ˌɐ̃ntʃikˌõnʒelˈɐ̃ntʃɪs	ˌɐ̃ntʃikˌõnʒelˈɐ̃ntʃɪs
anticonjugais	ˌɐ̃ntʃikˌõnʒuɡˈaɪs	ˌɐ̃ntʃikˌõnʒuɡˈaɪs
anticonjugal	ˌɐ̃ntʃikˌõnʒuɡˈaʊ	ˌɐ̃ntʃikˌõnʒuɡˈaʊ
anticonstitucional	ˌɐ̃ntʃikˌõnstʃitˌusjonˈaʊ	ˌɐ̃ntʃikˌõnstʃitˌusjonˈaʊ
