$ paste ~/auto.a.txt ~/auto.b.txt | awk '{ print $1, $2, $4}'

autoajuda	ˌaʊtoaʒˈudɐ	ˌaʊtoˌaʒˈudɐ
autoaprendizagem	ˌaʊtoˌapɾeɪndʒizˈaʒeɪm	ˌaʊtoˌapɾeɪndʒizˈaʒeɪm
autoavaliação	ˌaʊtoˌavalˌiʲasˈɐ̃ʊ̃	ˌaʊtoˌavalˌiʲasˈɐ̃ʊ̃
autoavaliações	ˌaʊtoˌavalˌiʲasˈõɪ̃s	ˌaʊtoˌavalˌiʲasˈõɪ̃s
autoavaliar	ˌaʊtoˌavaliʲˈaɾ	ˌaʊtoˌavaliʲˈaɾ
autobiografia	ˌaʊtobˌiʲoɡɾafˈiʲɐ	ˌaʊtobˌiʲoɡɾafˈiʲɐ
autobiografias	ˌaʊtobˌiʲoɡɾafˈiʲɐs	ˌaʊtobˌiʲoɡɾafˈiʲɐs
autobiográfica	ˌaʊtobˌiʲoɡɾˈafikɐ	ˌaʊtobˌiʲoɡɾˈafikɐ
autobiográficas	ˌaʊtobˌiʲoɡɾˈafikɐs	ˌaʊtobˌiʲoɡɾˈafikɐs
autobiográfico	ˌaʊtobˌiʲoɡɾˈafikʊ	ˌaʊtobˌiʲoɡɾˈafikʊ
autobiográficos	ˌaʊtobˌiʲoɡɾˈafikʊs	ˌaʊtobˌiʲoɡɾˈafikʊs
autobomba	ˌaʊtobˈõmbɐ	ˌaʊtobˈõmbɐ
autocarro	ˌaʊtokˈaxʊ	ˌaʊtokˈaxʊ
autocarros	ˌaʊtokˈaxʊs	ˌaʊtokˈaxʊs
autocatálise	ˌaʊtokatˈalizɪ	ˌaʊtokˌatˈalizɪ
autociclo	ˌaʊtosˈiklʊ	ˌaʊtosˈiklʊ
autociclos	ˌaʊtosˈiklʊs	ˌaʊtosˈiklʊs
autocinese	ˌaʊtosinˈɛzɪ	ˌaʊtosˌinˈɛzɪ
autocinesia	ˌaʊtosˌinezˈiʲɐ	ˌaʊtosˌinezˈiʲɐ
autoclínica	ˌaʊtoklˈinikɐ	ˌaʊtoklˈinikɐ
autoclismo	ˌaʊtoklˈizmʊ	ˌaʊtoklˈizmʊ
autoclismos	ˌaʊtoklˈizmʊs	ˌaʊtoklˈizmʊs
autocolante	ˌaʊtokolˈɐ̃ntʃɪ	ˌaʊtokˌolˈɐ̃ntʃɪ
autocolantes	ˌaʊtokolˈɐ̃ntʃɪs	ˌaʊtokˌolˈɐ̃ntʃɪs
autocombustão	ˌaʊtokˌõmbustˈɐ̃ʊ̃	ˌaʊtokˌõmbustˈɐ̃ʊ̃
autocondução	ˌaʊtokˌõndusˈɐ̃ʊ̃	ˌaʊtokˌõndusˈɐ̃ʊ̃
autoconduções	ˌaʊtokˌõndusˈõɪ̃s	ˌaʊtokˌõndusˈõɪ̃s
autoconfiança	ˌaʊtokˌõnfiʲˈɐ̃nsɐ	ˌaʊtokˌõnfiʲˈɐ̃nsɐ
autoconfiguração	ˌaʊtokˌõnfiɡˌuɾasˈɐ̃ʊ̃	ˌaʊtokˌõnfiɡˌuɾasˈɐ̃ʊ̃
autoconfigurações	ˌaʊtokˌõnfiɡˌuɾasˈõɪ̃s	ˌaʊtokˌõnfiɡˌuɾasˈõɪ̃s
autoconsciência	ˌaʊtokõnsjˈeɪnsjɐ	ˌaʊtokˌõnsjˈeɪnsjɐ
autoconsciências	ˌaʊtokõnsjˈeɪnsjɐs	ˌaʊtokˌõnsjˈeɪnsjɐs
autocontrole	ˌaʊtokõntɾˈɔlɪ	ˌaʊtokˌõntɾˈɔlɪ
autocontrolo	ˌaʊtokõntɾˈɔlʊ	ˌaʊtokˌõntɾˈɔlʊ
autocontrolos	ˌaʊtokõntɾˈɔlʊs	ˌaʊtokˌõntɾˈɔlʊs
autocopia	ˌaʊtokopˈiʲɐ	ˌaʊtokˌopˈiʲɐ
autocopiá	ˌaʊtokˌopiʲˈa	ˌaʊtokˌopiʲˈa
autocópia	ˌaʊtokˈɔpjɐ	ˌaʊtokˈɔpjɐ
autocopiada	ˌaʊtokˌopiʲˈadɐ	ˌaʊtokˌopiʲˈadɐ
autocopiadas	ˌaʊtokˌopiʲˈadɐs	ˌaʊtokˌopiʲˈadɐs
autocopiado	ˌaʊtokˌopiʲˈadʊ	ˌaʊtokˌopiʲˈadʊ
autocopiados	ˌaʊtokˌopiʲˈadʊs	ˌaʊtokˌopiʲˈadʊs
