paste ~/mini.a.txt ~/mini.b.txt | awk '$2 != $4 { print $1, $2, $4}'

miniatura	mˌiniʲatˈuɾɐ	mˌiniʲˌatˈuɾɐ
miniaturam	mˌiniʲatˈuɾɐ̃ʊ̃	mˌiniʲˌatˈuɾɐ̃ʊ̃
miniaturas	mˌiniʲatˈuɾɐs	mˌiniʲˌatˈuɾɐs
miniature	mˌiniʲatˈuɾɪ	mˌiniʲˌatˈuɾɪ
miniaturem	mˌiniʲatˈuɾeɪm	mˌiniʲˌatˈuɾeɪm
miniatures	mˌiniʲatˈuɾɪs	mˌiniʲˌatˈuɾɪs
miniaturo	mˌiniʲatˈuɾʊ	mˌiniʲˌatˈuɾʊ
minimalistas	mˌinimalˈistɐs	mˌinimˌalˈistɐs
minimidade	mˌinimidˈadʒɪ	mˌinimˌidˈadʒɪ
minimidades	mˌinimidˈadʒɪs	mˌinimˌidˈadʒɪs
minimizada	mˌinimizˈadɐ	mˌinimˌizˈadɐ
minimizadas	mˌinimizˈadɐs	mˌinimˌizˈadɐs
minimizado	mˌinimizˈadʊ	mˌinimˌizˈadʊ
minimizados	mˌinimizˈadʊs	mˌinimˌizˈadʊs
minimizamo	mˌinimizˈɐ̃mʊ	mˌinimˌizˈɐ̃mʊ
minimizamos	mˌinimizˈɐ̃mʊs	mˌinimˌizˈɐ̃mʊs
minimizámos	mˌinimizˈamʊs	mˌinimˌizˈamʊs
minimizando	mˌinimizˈɐ̃ndʊ	mˌinimˌizˈɐ̃ndʊ
minimizara	mˌinimizˈaɾɐ	mˌinimˌizˈaɾɐ
minimizaram	mˌinimizˈaɾɐ̃ʊ̃	mˌinimˌizˈaɾɐ̃ʊ̃
minimizáramos	mˌinimizˈaɾɐmʊs	mˌinimˌizˈaɾɐmʊs
minimizaras	mˌinimizˈaɾɐs	mˌinimˌizˈaɾɐs
minimizardes	mˌinimizˈaɾdʒɪs	mˌinimˌizˈaɾdʒɪs
minimizáreis	mˌinimizˈaɾeɪs	mˌinimˌizˈaɾeɪs
minimizarem	mˌinimizˈaɾeɪm	mˌinimˌizˈaɾeɪm
minimizares	mˌinimizˈaɾɪs	mˌinimˌizˈaɾɪs
minimizarmo	mˌinimizˈaɾmʊ	mˌinimˌizˈaɾmʊ
minimizarmos	mˌinimizˈaɾmʊs	mˌinimˌizˈaɾmʊs
minimizasse	mˌinimizˈasɪ	mˌinimˌizˈasɪ
minimizásseis	mˌinimizˈaseɪs	mˌinimˌizˈaseɪs
minimizassem	mˌinimizˈaseɪm	mˌinimˌizˈaseɪm
minimizássemos	mˌinimizˈasemʊs	mˌinimˌizˈasemʊs
minimizasses	mˌinimizˈasɪs	mˌinimˌizˈasɪs
minimizaste	mˌinimizˈastʃɪ	mˌinimˌizˈastʃɪ
minimizastes	mˌinimizˈastʃɪs	mˌinimˌizˈastʃɪs
minimizava	mˌinimizˈavɐ	mˌinimˌizˈavɐ
minimizavam	mˌinimizˈavɐ̃ʊ̃	mˌinimˌizˈavɐ̃ʊ̃
minimizávamos	mˌinimizˈavɐmʊs	mˌinimˌizˈavɐmʊs
minimizavas	mˌinimizˈavɐs	mˌinimˌizˈavɐs
minimizáveis	mˌinimizˈaveɪs	mˌinimˌizˈaveɪs
minimizemo	mˌinimizˈemʊ	mˌinimˌizˈemʊ
minimizemos	mˌinimizˈemʊs	mˌinimˌizˈemʊs
ministradora	mˌinistɾadˈoɾɐ	mˌinistɾˌadˈoɾɐ
ministradoras	mˌinistɾadˈoɾɐs	mˌinistɾˌadˈoɾɐs
ministradores	mˌinistɾadˈoɾɪs	mˌinistɾˌadˈoɾɪs
ministraremo	mˌinistɾaɾˈemʊ	mˌinistɾˌaɾˈemʊ
ministraremos	mˌinistɾaɾˈemʊs	mˌinistɾˌaɾˈemʊs
ministraria	mˌinistɾaɾˈiʲɐ	mˌinistɾˌaɾˈiʲɐ
ministrariam	mˌinistɾaɾˈiʲɐ̃ʊ̃	mˌinistɾˌaɾˈiʲɐ̃ʊ̃
ministraríamos	mˌinistɾaɾˈiʲɐmʊs	mˌinistɾˌaɾˈiʲɐmʊs
ministrarias	mˌinistɾaɾˈiʲɐs	mˌinistɾˌaɾˈiʲɐs
ministraríeis	mˌinistɾaɾˈiʲeɪs	mˌinistɾˌaɾˈiʲeɪs

