$ paste ~/mini.a.txt ~/mini.b.txt | awk '{ print $1, $2, $4}'

miniatura	mˌiniʲatˈuɾɐ	mˌiniʲˌatˈuɾɐ
miniaturá	mˌiniʲˌatuɾˈa	mˌiniʲˌatuɾˈa
miniaturada	mˌiniʲˌatuɾˈadɐ	mˌiniʲˌatuɾˈadɐ
miniaturadas	mˌiniʲˌatuɾˈadɐs	mˌiniʲˌatuɾˈadɐs
miniaturado	mˌiniʲˌatuɾˈadʊ	mˌiniʲˌatuɾˈadʊ
miniaturados	mˌiniʲˌatuɾˈadʊs	mˌiniʲˌatuɾˈadʊs
miniaturai	mˌiniʲˌatuɾˈaɪ	mˌiniʲˌatuɾˈaɪ
miniaturais	mˌiniʲˌatuɾˈaɪs	mˌiniʲˌatuɾˈaɪs
miniatural	mˌiniʲˌatuɾˈaʊ	mˌiniʲˌatuɾˈaʊ
miniaturam	mˌiniʲatˈuɾɐ̃ʊ̃	mˌiniʲˌatˈuɾɐ̃ʊ̃
miniaturamos	mˌiniʲˌatuɾˈɐ̃mʊs	mˌiniʲˌatuɾˈɐ̃mʊs
miniaturámos	mˌiniʲˌatuɾˈamʊs	mˌiniʲˌatuɾˈamʊs
miniaturando	mˌiniʲˌatuɾˈɐ̃ndʊ	mˌiniʲˌatuɾˈɐ̃ndʊ
miniaturar	mˌiniʲˌatuɾˈaɾ	mˌiniʲˌatuɾˈaɾ
miniaturara	mˌiniʲˌatuɾˈaɾɐ	mˌiniʲˌatuɾˈaɾɐ
miniaturará	mˌiniʲˌatuɾaɾˈa	mˌiniʲˌatuɾaɾˈa
miniaturaram	mˌiniʲˌatuɾˈaɾɐ̃ʊ̃	mˌiniʲˌatuɾˈaɾɐ̃ʊ̃
miniaturáramos	mˌiniʲˌatuɾˈaɾɐmʊs	mˌiniʲˌatuɾˈaɾɐmʊs
miniaturarão	mˌiniʲˌatuɾaɾˈɐ̃ʊ̃	mˌiniʲˌatuɾaɾˈɐ̃ʊ̃
miniaturaras	mˌiniʲˌatuɾˈaɾɐs	mˌiniʲˌatuɾˈaɾɐs
miniaturarás	mˌiniʲˌatuɾaɾˈas	mˌiniʲˌatuɾaɾˈas
miniaturardes	mˌiniʲˌatuɾˈaɾdʒɪs	mˌiniʲˌatuɾˈaɾdʒɪs
miniaturarei	mˌiniʲˌatuɾaɾˈeɪ	mˌiniʲˌatuɾaɾˈeɪ
miniaturareis	mˌiniʲˌatuɾaɾˈeɪs	mˌiniʲˌatuɾaɾˈeɪs
miniaturáreis	mˌiniʲˌatuɾˈaɾeɪs	mˌiniʲˌatuɾˈaɾeɪs
miniaturarem	mˌiniʲˌatuɾˈaɾeɪm	mˌiniʲˌatuɾˈaɾeɪm
miniaturaremos	mˌiniʲˌatuɾaɾˈemʊs	mˌiniʲˌatuɾaɾˈemʊs
miniaturares	mˌiniʲˌatuɾˈaɾɪs	mˌiniʲˌatuɾˈaɾɪs
miniaturaria	mˌiniʲˌatuɾaɾˈiʲɐ	mˌiniʲˌatuɾaɾˈiʲɐ
