$ paste ~/ismo.a.txt ~/ismo.b.txt | awk '{ print $1, $2, $4}'

abeliano	ˌabeliˈɐ̃nʊ	ˌabeliˈɐ̃nʊ
açoriano	ˌasoɾiˈɐ̃nʊ	ˌasoɾiˈɐ̃nʊ
agostiniano	ˌaɡostʃˌiniˈɐ̃nʊ	ˌaɡostʃˌiniˈɐ̃nʊ
alsaciano	ˌaʊsasiˈɐ̃nʊ	ˌaʊsasiˈɐ̃nʊ
ambrosiano	ˌɐ̃mbɾoziˈɐ̃nʊ	ˌɐ̃mbɾoziˈɐ̃nʊ
antoniano	ˌɐ̃ntoniˈɐ̃nʊ	ˌɐ̃ntoniˈɐ̃nʊ
apalaciano	ˌapalˌasiˈɐ̃nʊ	ˌapalˌasiˈɐ̃nʊ
arcadiano	ˌaɾkadʒiˈɐ̃nʊ	ˌaɾkadʒiˈɐ̃nʊ
artesiano	ˌaɾteziˈɐ̃nʊ	ˌaɾteziˈɐ̃nʊ
asturiano	ˌastuɾiˈɐ̃nʊ	ˌastuɾiˈɐ̃nʊ
augustiniano	ˌaʊɡustʃˌiniˈɐ̃nʊ	ˌaʊɡustʃˌiniˈɐ̃nʊ
Aureliano	ˌaʊɾeliˈɐ̃nʊ	ˌaʊɾeliˈɐ̃nʊ
australiano	ˌaʊstɾaliˈɐ̃nʊ	ˌaʊstɾaliˈɐ̃nʊ
autopiano	ˌaʊtopˌiˈɐ̃nʊ	ˌaʊtopiˈɐ̃nʊ
baamiano	bˌaɐmiˈɐ̃nʊ	bˌaɐmiˈɐ̃nʊ
baconiano	bˌakoniˈɐ̃nʊ	beɪkˌoniˈɐ̃nʊ
bacteriano	bˌakteɾiˈɐ̃nʊ	bˌakteɾiˈɐ̃nʊ
balzaquiano	bˌaʊzakiˈɐ̃nʊ	bˌaʊzakiˈɐ̃nʊ
bangladechiano	bˌɐ̃ŋɡladˌeʃiˈɐ̃nʊ	bˌɐ̃ŋɡladˌeʃiˈɐ̃nʊ
biquotidiano	bˌikwotʃˌidʒiˈɐ̃nʊ	bˌikwotʃˌidʒiˈɐ̃nʊ
boliviano	bˌoliviˈɐ̃nʊ	bˌoliviˈɐ̃nʊ
brasiliano	bɾˌaziliˈɐ̃nʊ	bɾˌaziliˈɐ̃nʊ
burundiano	bˌuɾũndʒiˈɐ̃nʊ	bˌuɾũndʒiˈɐ̃nʊ
