$ paste ~/ismo.a.txt ~/ismo.b.txt | awk '{ print $1, $2, $4}'

abismo	ˌabˈizmʊ	ˌabˈizmʊ
abolicionismo	ˌabolˌisjonˈizmʊ	ˌabolˌisjonˈizmʊ
absentismo	ˌabseɪntʃˈizmʊ	ˌabseɪntʃˈizmʊ
absolutismo	ˌabsolutʃˈizmʊ	ˌabsolutʃˈizmʊ
abstencionismo	ˌabsteɪnsjonˈizmʊ	ˌabsteɪnsjonˈizmʊ
abstracionismo	ˌabstɾasjonˈizmʊ	ˌabstɾasjonˈizmʊ
abstratismo	ˌabstɾatʃˈizmʊ	ˌabstɾatʃˈizmʊ
absurdismo	ˌabsuɾdʒˈizmʊ	ˌabsuɾdʒˈizmʊ
academicismo	ˌakadˌemisˈizmʊ	ˌakadˌemisˈizmʊ
academismo	ˌakademˈizmʊ	ˌakademˈizmʊ
acrobatismo	ˌakɾobatʃˈizmʊ	ˌakɾobatʃˈizmʊ
adventismo	ˌadveɪntʃˈizmʊ	ˌadveɪntʃˈizmʊ
aeromodelismo	ˌaeɾˌomodelˈizmʊ	ˌaeɾˌomodelˈizmʊ
aeroplanismo	ˌaeɾˌoplɐnˈizmʊ	ˌaeɾˌoplɐnˈizmʊ
aforismo	ˌafoɾˈizmʊ	ˌafoɾˈizmʊ
africanismo	ˌafɾikɐnˈizmʊ	ˌafɾikɐnˈizmʊ
agnosticismo	ˌaɡnostʃisˈizmʊ	ˌaɡnostʃisˈizmʊ
alarmismo	ˌalaɾmˈizmʊ	ˌalaɾmˈizmʊ
albinismo	ˌaʊbinˈizmʊ	ˌaʊbinˈizmʊ
alcoolismo	ˌaʊkoolˈizmʊ	ˌaʊkoolˈizmʊ
alegorismo	ˌaleɡoɾˈizmʊ	ˌaleɡoɾˈizmʊ
alexandrinismo	ˌaleʃˌɐ̃ndɾinˈizmʊ	ˌaleʃˌɐ̃ndɾinˈizmʊ
alfabetismo	ˌaʊfabetʃˈizmʊ	ˌaʊfabetʃˈizmʊ
algarismo	ˌaʊɡaɾˈizmʊ	ˌaʊɡaɾˈizmʊ
alienismo	ˌalienˈizmʊ	alˌienˈizmʊ
alpinismo	ˌaʊpinˈizmʊ	ˌaʊpinˈizmʊ
amadorismo	ˌɐmadoɾˈizmʊ	ˌɐmadoɾˈizmʊ
ambientalismo	ˌɐ̃mbiˌeɪntalˈizmʊ	ˌɐ̃mbiˌeɪntalˈizmʊ
americanismo	ˌɐmeɾˌikɐnˈizmʊ	ˌɐmeɾˌikɐnˈizmʊ
amoralismo	ˌɐmoɾalˈizmʊ	ˌɐmoɾalˈizmʊ
amorfismo	ˌɐmoɾfˈizmʊ	ˌɐmoɾfˈizmʊ
anabolismo	ˌɐnabolˈizmʊ	ˌɐnabolˈizmʊ
anacronismo	ˌɐnakɾonˈizmʊ	ˌɐnakɾonˈizmʊ
anaforismo	ˌɐnafoɾˈizmʊ	ˌɐnafoɾˈizmʊ
analfabetismo	ˌɐnaʊfˌabetʃˈizmʊ	ˌɐnaʊfˌabetʃˈizmʊ
analogismo	ˌɐnaloʒˈizmʊ	ˌɐnaloʒˈizmʊ
anamorfismo	ˌɐnɐmoɾfˈizmʊ	ˌɐnɐmoɾfˈizmʊ
anarquismo	ˌɐnaɾkˈizmʊ	ˌɐnaɾkˈizmʊ
anexionismo	ˌɐneksjonˈizmʊ	ˌɐneksjonˈizmʊ
angelismo	ˌɐ̃nʒelˈizmʊ	ˌɐ̃nʒelˈizmʊ
anglicanismo	ˌɐ̃ŋɡlikɐnˈizmʊ	ˌɐ̃ŋɡlikɐnˈizmʊ
