$ paste ~/ista.a.txt ~/ista.b.txt | awk '{ print $1, $2, $4}'

abolicionista	ˌabolˌisjonˈistɐ	ˌabolˌisjonˈistɐ
absentista	ˌabseɪntʃˈistɐ	ˌabseɪntʃˈistɐ
absolutista	ˌabsolutʃˈistɐ	ˌabsolutʃˈistɐ
abstencionista	ˌabsteɪnsjonˈistɐ	ˌabsteɪnsjonˈistɐ
abstracionista	ˌabstɾasjonˈistɐ	ˌabstɾasjonˈistɐ
academista	ˌakademˈistɐ	ˌakademˈistɐ
acionista	ˌasjonˈistɐ	ˌasjonˈistɐ
acordeonista	ˌakoɾdˌeonˈistɐ	ˌakoɾdˌeonˈistɐ
aderecista	ˌadeɾesˈistɐ	ˌadeɾesˈistɐ
administrativista	ˌadminˌistɾatʃivˈistɐ	ˌadminˌistɾatʃivˈistɐ
adventista	ˌadveɪntʃˈistɐ	ˌadveɪntʃˈistɐ
africanista	ˌafɾikɐnˈistɐ	ˌafɾikɐnˈistɐ
agnosticista	ˌaɡnostʃisˈistɐ	ˌaɡnostʃisˈistɐ
aguarelista	ˌaɡwaɾelˈistɐ	ˌaɡwaɾelˈistɐ
alarmista	ˌalaɾmˈistɐ	ˌalaɾmˈistɐ
alegorista	ˌaleɡoɾˈistɐ	ˌaleɡoɾˈistɐ
alfabetista	ˌaʊfabetʃˈistɐ	ˌaʊfabetʃˈistɐ
alfamista	ˌaʊfɐmˈistɐ	ˌaʊfɐmˈistɐ
alfarrabista	ˌaʊfaxabˈistɐ	ˌaʊfaxabˈistɐ
algebrista	ˌaʊʒebɾˈistɐ	ˌaʊʒebɾˈistɐ
alienista	ˌalienˈistɐ	alˌienˈistɐ
alimentista	ˌalimeɪntʃˈistɐ	ˌalimeɪntʃˈistɐ
alista	ˌalˈistɐ	ˌalˈistɐ
alpinista	ˌaʊpinˈistɐ	ˌaʊpinˈistɐ
alpista	ˌaʊpˈistɐ	ˌaʊpˈistɐ
alquimista	ˌaʊkimˈistɐ	ˌaʊkimˈistɐ
altista	ˌaʊtʃˈistɐ	aʊtʃˈistɐ
amadorista	ˌɐmadoɾˈistɐ	ˌɐmadoɾˈistɐ
ambientalista	ˌɐ̃mbiˌeɪntalˈistɐ	ˌɐ̃mbiˌeɪntalˈistɐ
americanista	ˌɐmeɾˌikɐnˈistɐ	ˌɐmeɾˌikɐnˈistɐ
ametista	ˌɐmetʃˈistɐ	ˌɐmetʃˈistɐ
Ametista	ˌɐmetʃˈistɐ	ˌɐmetʃˈistɐ
analista	ˌɐnalˈistɐ	ˌɐnalˈistɐ
anarquista	ˌɐnaɾkˈistɐ	ˌɐnaɾkˈistɐ
anatomista	ˌɐnatomˈistɐ	ˌɐnatomˈistɐ
andebolista	ˌɐ̃ndebolˈistɐ	ˌɐ̃ndebolˈistɐ
andrologista	ˌɐ̃ndɾoloʒˈistɐ	ˌɐ̃ndɾoloʒˈistɐ
anedotista	ˌɐnedotʃˈistɐ	ˌɐnedotʃˈistɐ
anestesista	ˌɐnestezˈistɐ	ˌɐnestezˈistɐ
anexionista	ˌɐneksjonˈistɐ	ˌɐneksjonˈistɐ
animalista	ˌɐnimalˈistɐ	ˌɐnimalˈistɐ
animista	ˌɐnimˈistɐ	ˌɐnimˈistɐ
antagonista	ˌɐ̃ntaɡonˈistɐ	ˌɐ̃ntaɡonˈistɐ
