aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
abertamente	ˌabeɾtɐmˈeɪŋtʃɪ	ˌabɛɾtɐmˈeɪŋtʃɪ
abnegadamente	ˌabneɡˌadɐmˈeɪŋtʃɪ	ˌabneɡadɐmˈeɪŋtʃɪ
absolutamente	ˌabsolˌutɐmˈeɪŋtʃɪ	ˌabsolutɐmˈeɪŋtʃɪ
abundantemente	ˌabũŋdˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabũŋdɐ̃ŋtʃɪmˈeɪŋtʃɪ
abusivamente	ˌabuzˌivɐmˈeɪŋtʃɪ	ˌabuzivɐmˈeɪŋtʃɪ
aceitadamente	ˌaseɪtˌadɐmˈeɪŋtʃɪ	ˌaseɪtadɐmˈeɪŋtʃɪ
acerrimamente	ˌasexˌimɐmˈeɪŋtʃɪ	ˌaseximɐmˈeɪŋtʃɪ
acertadamente	ˌaseɾtˌadɐmˈeɪŋtʃɪ	ˌaseɾtadɐmˈeɪŋtʃɪ
acusticamente	ˌakustʃˌikɐmˈeɪŋtʃɪ	ˌakustʃikɐmˈeɪŋtʃɪ
adequadamente	ˌadekwˌadɐmˈeɪŋtʃɪ	ˌadekwadɐmˈeɪŋtʃɪ
administrativamente	ˌadminˌistɾatʃˌivɐmˈeɪŋtʃɪ	ˌadminˌistɾatʃivɐmˈeɪŋtʃɪ
admiradamente	ˌadmiɾˌadɐmˈeɪŋtʃɪ	ˌadmiɾadɐmˈeɪŋtʃɪ
adolescentemente	ˌadolˌeseɪŋtemˈeɪŋtʃɪ	ˌadolˌeseɪŋtʃɪmˈeɪŋtʃɪ
adversamente	ˌadveɾsɐmˈeɪŋtʃɪ	ˌadvɛɾsɐmˈeɪŋtʃɪ
afanosamente	ˌafɐnˌozɐmˈeɪŋtʃɪ	ˌafɐnɔzɐmˈeɪŋtʃɪ
afetadamente	ˌafetˌadɐmˈeɪŋtʃɪ	ˌafetadɐmˈeɪŋtʃɪ
afetivamente	ˌafetʃˌivɐmˈeɪŋtʃɪ	ˌafetʃivɐmˈeɪŋtʃɪ
afetuosamente	ˌafetwˌozɐmˈeɪŋtʃɪ	ˌafetwɔzɐmˈeɪŋtʃɪ
afincadamente	ˌafiŋkˌadɐmˈeɪŋtʃɪ	ˌafiŋkadɐmˈeɪŋtʃɪ
aflitivamente	ˌaflitʃˌivɐmˈeɪŋtʃɪ	ˌaflitʃivɐmˈeɪŋtʃɪ
agressivamente	ˌaɡɾesˌivɐmˈeɪŋtʃɪ	ˌaɡɾesivɐmˈeɪŋtʃɪ
airosamente	ˌaɪɾozɐmˈeɪŋtʃɪ	ˌaɪɾɔzɐmˈeɪŋtʃɪ
aleatoriamente	ˌaleˌatoɾˌiɐmˈeɪŋtʃɪ	ˌaleˌatoɾiɐmˈeɪŋtʃɪ
alegadamente	ˌaleɡˌadɐmˈeɪŋtʃɪ	ˌaleɡadɐmˈeɪŋtʃɪ
alegremente	ˌaleɡɾemˈeɪŋtʃɪ	ˌalɛɡɾɪmˈeɪŋtʃɪ
alentadamente	ˌaleɪŋtˌadɐmˈeɪŋtʃɪ	ˌaleɪŋtadɐmˈeɪŋtʃɪ
algebricamente	ˌaʊʒebɾˌikɐmˈeɪŋtʃɪ	ˌaʊʒebɾikɐmˈeɪŋtʃɪ
altamente	ˌaʊtɐmˈeɪŋtʃɪ	aʊtɐmˈeɪŋtʃɪ
alternadamente	ˌaʊteɾnˌadɐmˈeɪŋtʃɪ	ˌaʊteɾnadɐmˈeɪŋtʃɪ
aluadamente	ˌaluˌadɐmˈeɪŋtʃɪ	ˌaluadɐmˈeɪŋtʃɪ
alucinadoramente	ˌalusˌinadˌoɾɐmˈeɪŋtʃɪ	ˌalusˌinadoɾɐmˈeɪŋtʃɪ
amamente	ˌɐmɐmˈeɪŋtʃɪ	ɐ̃mɐmˈeɪŋtʃɪ
ameaçadoramente	ˌɐmeˌasadˌoɾɐmˈeɪŋtʃɪ	ˌɐmeˌasadoɾɐmˈeɪŋtʃɪ
amorosamente	ˌɐmoɾˌozɐmˈeɪŋtʃɪ	ˌɐmoɾɔzɐmˈeɪŋtʃɪ
amparadamente	ˌɐ̃mpaɾˌadɐmˈeɪŋtʃɪ	ˌɐ̃mpaɾadɐmˈeɪŋtʃɪ
amplamente	ˌɐ̃mplɐmˈeɪŋtʃɪ	ɐ̃mplɐmˈeɪŋtʃɪ
analogamente	ˌɐnalˌoɡɐmˈeɪŋtʃɪ	ˌɐnalɔɡɐmˈeɪŋtʃɪ
angustiantemente	ˌɐ̃ŋɡustʃˌiɐ̃ŋtemˈeɪŋtʃɪ	ˌɐ̃ŋɡustʃˌiɐ̃ŋtʃɪmˈeɪŋtʃɪ
angustiosamente	ˌɐ̃ŋɡustʃˌiozɐmˈeɪŋtʃɪ	ˌɐ̃ŋɡustʃˌiɔzɐmˈeɪŋtʃɪ
animadamente	ˌɐnimˌadɐmˈeɪŋtʃɪ	ˌɐnimadɐmˈeɪŋtʃɪ
anonimamente	ˌɐnonˌimɐmˈeɪŋtʃɪ	ˌɐnonimɐmˈeɪŋtʃɪ
