aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
abertamente	ˌabeɾtɐmˈeɪŋtʃɪ	ˌabɛɾtɐmˈeɪŋtʃɪ
abnegadamente	ˌabneɡˌadɐmˈeɪŋtʃɪ	ˌabneɡadɐmˈeɪŋtʃɪ
abrasadoramente	ˌabɾazˌadoɾɐmˈeɪŋtʃɪ	ˌabɾazˌadoɾɐmˈeɪŋtʃɪ
abreviadamente	ˌabɾevˌiadɐmˈeɪŋtʃɪ	ˌabɾevˌiadɐmˈeɪŋtʃɪ
abruptamente	ˌabɾuptɐmˈeɪŋtʃɪ	ˌabɾuptɐmˈeɪŋtʃɪ
absolutamente	ˌabsolˌutɐmˈeɪŋtʃɪ	ˌabsolutɐmˈeɪŋtʃɪ
abstratamente	ˌabstɾatɐmˈeɪŋtʃɪ	ˌabstɾatɐmˈeɪŋtʃɪ
absurdamente	ˌabsuɾdɐmˈeɪŋtʃɪ	ˌabsuɾdɐmˈeɪŋtʃɪ
abundantemente	ˌabũŋdˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabũŋdɐ̃ŋtʃɪmˈeɪŋtʃɪ
abusivamente	ˌabuzˌivɐmˈeɪŋtʃɪ	ˌabuzivɐmˈeɪŋtʃɪ
acabrunhadamente	ˌakabɾˌũɲadɐmˈeɪŋtʃɪ	ˌakabɾˌũɲadɐmˈeɪŋtʃɪ
academicamente	ˌakadˌemikɐmˈeɪŋtʃɪ	ˌakadˌemikɐmˈeɪŋtʃɪ
acaloradamente	ˌakalˌoɾadɐmˈeɪŋtʃɪ	ˌakalˌoɾadɐmˈeɪŋtʃɪ
aceitadamente	ˌaseɪtˌadɐmˈeɪŋtʃɪ	ˌaseɪtadɐmˈeɪŋtʃɪ
aceleradamente	ˌaselˌeɾadɐmˈeɪŋtʃɪ	ˌaselˌeɾadɐmˈeɪŋtʃɪ
acentuadamente	ˌaseɪŋtˌuadɐmˈeɪŋtʃɪ	ˌaseɪŋtˌuadɐmˈeɪŋtʃɪ
acerrimamente	ˌasexˌimɐmˈeɪŋtʃɪ	ˌaseximɐmˈeɪŋtʃɪ
acertadamente	ˌaseɾtˌadɐmˈeɪŋtʃɪ	ˌaseɾtadɐmˈeɪŋtʃɪ
acessoriamente	ˌasesˌoɾiɐmˈeɪŋtʃɪ	ˌasesˌoɾiɐmˈeɪŋtʃɪ
acidentalmente	ˌasidˌeɪŋtaʊmˈeɪŋtʃɪ	ˌasidˌeɪŋtaʊmˈeɪŋtʃɪ
acondimente	ˌakoŋdʒimˈeɪŋtʃɪ	ˌakoŋdʒimˈeɪŋtʃɪ
acrobaticamente	ˌakɾobˌatʃikɐmˈeɪŋtʃɪ	ˌakɾobˌatʃikɐmˈeɪŋtʃɪ
acusticamente	ˌakustʃˌikɐmˈeɪŋtʃɪ	ˌakustʃikɐmˈeɪŋtʃɪ
adequadamente	ˌadekwˌadɐmˈeɪŋtʃɪ	ˌadekwadɐmˈeɪŋtʃɪ
adicionalmente	ˌadʒisˌɪonaʊmˈeɪŋtʃɪ	ˌadʒisˌɪonaʊmˈeɪŋtʃɪ
administrativamente	ˌadminˌistɾatʃˌivɐmˈeɪŋtʃɪ	ˌadminˌistɾatʃivɐmˈeɪŋtʃɪ
admiradamente	ˌadmiɾˌadɐmˈeɪŋtʃɪ	ˌadmiɾadɐmˈeɪŋtʃɪ
admiravelmente	ˌadmiɾˌavɛʊmˈeɪŋtʃɪ	ˌadmiɾˌavɛʊmˈeɪŋtʃɪ
adolescentemente	ˌadolˌeseɪŋtemˈeɪŋtʃɪ	ˌadolˌeseɪŋtʃɪmˈeɪŋtʃɪ
adoravelmente	ˌadoɾˌavɛʊmˈeɪŋtʃɪ	ˌadoɾˌavɛʊmˈeɪŋtʃɪ
adormente	ˌadoɾmˈeɪŋtʃɪ	ˌadoɾmˈeɪŋtʃɪ
adversamente	ˌadveɾsɐmˈeɪŋtʃɪ	ˌadvɛɾsɐmˈeɪŋtʃɪ
afanosamente	ˌafɐnˌozɐmˈeɪŋtʃɪ	ˌafɐnɔzɐmˈeɪŋtʃɪ
afavelmente	ˌafavɛʊmˈeɪŋtʃɪ	ˌafavɛʊmˈeɪŋtʃɪ
afetadamente	ˌafetˌadɐmˈeɪŋtʃɪ	ˌafetadɐmˈeɪŋtʃɪ
afetivamente	ˌafetʃˌivɐmˈeɪŋtʃɪ	ˌafetʃivɐmˈeɪŋtʃɪ
afetuosamente	ˌafetwˌozɐmˈeɪŋtʃɪ	ˌafetwɔzɐmˈeɪŋtʃɪ
afincadamente	ˌafiŋkˌadɐmˈeɪŋtʃɪ	ˌafiŋkadɐmˈeɪŋtʃɪ
afirmativamente	ˌafiɾmˌatʃivɐmˈeɪŋtʃɪ	ˌafiɾmˌatʃivɐmˈeɪŋtʃɪ
aflitivamente	ˌaflitʃˌivɐmˈeɪŋtʃɪ	ˌaflitʃivɐmˈeɪŋtʃɪ
afortunadamente	ˌafoɾtˌunadɐmˈeɪŋtʃɪ	ˌafoɾtˌunadɐmˈeɪŋtʃɪ
agilmente	ˌaʒiʊmˈeɪŋtʃɪ	ˌaʒiʊmˈeɪŋtʃɪ
