Aarão	ˌaaɾˈɐ̃ʊ̃
Abade	ˌabˈadʒy
Abadia	ˌabadʒˈiæ
Abadiânia	ˌabadʒjˈɐ̃njæ
Abaetetuba	ˌabaˌetetˈubæ
Abaeté	ˌabaetˈɛ
Abaiara	ˌabaɪˈaɾæ
Abaixo	ˌabˈaɪʃʊ
Abaré	ˌabaɾˈɛ
Abatiá	ˌabatʃiˈa
Abaíra	ˌabaˈiɾæ
Abdon	abdˈoŋ
Abeba	ˌabˈebæ
Abel	abˈɛʊ
Abelardo	ˌabelˈaɾədʊ
Abidjan	ˌabidʒˈɐ̃ŋ
Abissínia	ˌabisˈinjæ
Abner	abnˈer
Abraão	ˌabraˈɐ̃ʊ̃
Abre	ˈabry
Abreu	abrˈeʊ
Abreulândia	ˌabreʊlˈɐ̃ŋdʒjæ
Absalão	ˌabsalˈɐ̃ʊ̃
Abu	abˈu
Abuja	ˌabˈuʒæ
Acab	akˈab
Acaia	ˌakˈaɪæ
Acaiaca	ˌakaɪˈakæ
Acajutiba	ˌakaʒutʃˈibæ
Acarapé	ˌakaɾapˈɛ
Acaraú	ˌakaɾaˈu
Acari	ˌakaɾˈi
Acará	ˌakaɾˈa
Acauã	ˌakaʊˈɐ̃
Achkhabad	ˌaʃkabˈad
Acima	ˌasˈimæ
Aconcágua	ˌakoŋkˈaɡwæ
Acopiara	ˌakopiˈaɾæ
Acordo	ˌakˈoɾədʊ
Acorizal	ˌakoɾizˈaʊ
Acra	ˈakræ
Acre	ˈakry
Acrelândia	ˌakrelˈɐ̃ŋdʒjæ
Acreúna	ˌakreˈunæ
Acrópole	ˌakrˈɔpoly
Adamantina	ˌadæmɐ̃ŋtʃˈinæ
Adelândia	ˌadelˈɐ̃ŋdʒjæ
Adilson	ˌadʒˈiʊsoŋ
Adis	adʒˈis
Adolfo	ˌadˈowfʊ
Adriana	ˌadriˈɐ̃næ
Adriano	ˌadriˈɐ̃nʊ
Adrianópolis	ˌadriænˈɔpolis
Adriático	ˌadriˈatʃikʊ
Adustina	ˌadustʃˈinæ
Adélia	ˌadˈɛljæ
Afeganistão	ˌafeɡˌænistˈɐ̃ʊ̃
Afogados	ˌafoɡˈadʊs
Afonso	ˌafˈoŋsʊ
Africana	ˌafrikˈɐ̃næ
Afrodite	ˌafrodʒˈitʃy
Afrânio	ˌafrˈɐ̃njʊ
Afuá	afwˈa
Agana	ˌaɡˈɐ̃næ
Agostinho	ˌaɡostʃˈiɲʊ
Agrestina	ˌaɡrestʃˈinæ
Agricolândia	ˌaɡrikolˈɐ̃ŋdʒjæ
Agrolândia	ˌaɡrolˈɐ̃ŋdʒjæ
Agronômica	ˌaɡronˈomikæ
Aguanil	ˌaɡwɐ̃nˈiʊ
Aguapeí	ˌaɡwapeˈi
Aguaí	ˌaɡwaˈi
Agudo	ˌaɡˈudʊ
Agudos	ˌaɡˈudʊs
Aguiar	ˌaɡiˈar
Aguiarnópolis	ˌaɡiaɾənˈɔpolis
Aimoré	ˌaɪmoɾˈɛ
Aimorés	ˌaɪmoɾˈɛs
Aiquara	ˌaɪkwˈaɾæ
Aires	ˈaɪɾys
Airão	aɪɾˈɐ̃ʊ̃
Aiuaba	ˌaɪuˈabæ
Aiuruoca	ˌaɪuɾuˈɔkæ
Ajax	aʒˈaks
Ajuda	ˌaʒˈudæ
Ajuricaba	ˌaʒuɾikˈabæ
Ajuru	ˌaʒuɾˈu
Alagoa	ˌalaɡˈoæ
Alagoas	ˌalaɡˈoæs
Alagoinha	ˌalaɡoˈiɲæ
Alagoinhas	ˌalaɡoˈiɲæs
Alair	ˌalaˈir
Alambari	ˌalɐ̃mbaɾˈi
Alarico	ˌalaɾˈikʊ
Alasca	ˌalˈaskæ
Alberta	ˌaʊbˈɛɾətæ
Albertina	ˌaʊbeɾətʃˈinæ
Alberto	ˌaʊbˈɛɾətʊ
Albuquerque	ˌaʊbukˈɛɾəky
Albânia	ˌaʊbˈɐ̃njæ
Alcantil	ˌaʊkɐ̃ŋtʃˈiʊ
Alceu	aʊsˈeʊ
Alcibíades	ˌaʊsibˈiædʒys
Alcino	ˌaʊsˈinʊ
Alcinópolis	ˌaʊsinˈɔpolis
Alcobaça	ˌaʊkobˈasæ
Alcântara	ˌaʊkˈɐ̃ŋtæɾæ
Alcântaras	ˌaʊkˈɐ̃ŋtæɾæs
Aldebarã	ˌaʊdebaɾˈɐ̃
Aldeia	ˌaʊdˈeɪæ
Aldeias	ˌaʊdˈeɪæs
Alecrim	ˌalekrˈiŋ
Alegre	ˌalˈɛɡry
Alegrete	ˌaleɡrˈetʃy
Alegria	ˌaleɡrˈiæ
Aleixo	ˌalˈeɪʃʊ
Alemanha	ˌalemˈɐ̃ɲæ
