Aarão	,aa*'&U~
Abade	,ab'adZy
Abadia	,abadZ'i;&
Abadiânia	,abadZj'&~nj&
Abaetetuba	,aba,etet'ub&
Abaeté	,abaet'E
Abaiara	,abaI;'a*&
Abaixo	,ab'aISU
Abaré	,aba*'E
Abatiá	,abatSi;'a
Abaíra	,aba'i*&
Abdon	abd'oN
Abeba	,ab'eb&
Abel	ab'EU
Abelardo	,abel'a*@-dU
Abidjan	,abidZ'&~N
Abissínia	,abis'inj&
Abner	abn'er
Abraão	,abRa'&U~
Abre	'abRy
Abreu	abR'eU
Abreulândia	,abReUl'&~NdZj&
Absalão	,absal'&U~
Abu	ab'u
Abuja	,ab'uZ&
Acab	ak'ab
Acaia	,ak'aI;&
Acaiaca	,akaI;'ak&
Acajutiba	,akaZutS'ib&
Acarapé	,aka*ap'E
Acaraú	,aka*a'u
Acari	,aka*'i
Acará	,aka*'a
Acauã	,akaU'&~
Achkhabad	,aSkab'ad
Acima	,as'im&
Aconcágua	,akoNk'agw&
Acopiara	,akopi;'a*&
Acordo	,ak'o*@-dU
Acorizal	,ako*iz'aU
Acra	'akR&
Acre	'akRy
Acrelândia	,akRel'&~NdZj&
Acreúna	,akRe'un&
Acrópole	,akR'Opoly
Adamantina	,ad&m&~NtS'in&
Adelândia	,adel'&~NdZj&
Adilson	,adZ'iUsoN
Adis	adZ'is
Adolfo	,ad'owfU
Adriana	,adRi;'&~n&
Adriano	,adRi;'&~nU
Adrianópolis	,adRi;&n'Opolis
Adriático	,adRi;'atSikU
Adustina	,adustS'in&
Adélia	,ad'Elj&
Afeganistão	,afeg,&nist'&U~
Afogados	,afog'adUs
Afonso	,af'oNsU
Africana	,afRik'&~n&
Afrodite	,afRodZ'itSy
Afrânio	,afR'&~njU
Afuá	afw'a
Agana	,ag'&~n&
Agostinho	,agostS'in^U
Agrestina	,agRestS'in&
Agricolândia	,agRikol'&~NdZj&
Agrolândia	,agRol'&~NdZj&
Agronômica	,agRon'omik&
Aguanil	,agw&~n'iU
Aguapeí	,agwape'i
Aguaí	,agwa'i
Agudo	,ag'udU
Agudos	,ag'udUs
Aguiar	,agi;'ar
Aguiarnópolis	,agi;a*@-n'Opolis
Aimoré	,aImo*'E
Aimorés	,aImo*'Es
Aiquara	,aIkw'a*&
Aires	'aI*ys
Airão	aI*'&U~
Aiuaba	,aI;u'ab&
Aiuruoca	,aI;u*u'Ok&
Ajax	aZ'aks
Ajuda	,aZ'ud&
Ajuricaba	,aZu*ik'ab&
Ajuru	,aZu*'u
Alagoa	,alag'o&
Alagoas	,alag'o&s
Alagoinha	,alago'in^&
Alagoinhas	,alago'in^&s
Alair	,ala'ir
Alambari	,al&~mba*'i
Alarico	,ala*'ikU
Alasca	,al'ask&
Alberta	,aUb'E*@-t&
Albertina	,aUbe*@-tS'in&
Alberto	,aUb'E*@-tU
Albuquerque	,aUbuk'E*@-ky
Albânia	,aUb'&~nj&
Alcantil	,aUk&~NtS'iU
Alceu	aUs'eU
Alcibíades	,aUsib'i;&dZys
Alcino	,aUs'inU
Alcinópolis	,aUsin'Opolis
Alcobaça	,aUkob'as&
Alcântara	,aUk'&~Nt&*&
Alcântaras	,aUk'&~Nt&*&s
Aldebarã	,aUdeba*'&~
Aldeia	,aUd'eI;&
Aldeias	,aUd'eI;&s
Alecrim	,alekR'iN
Alegre	,al'EgRy
Alegrete	,alegR'etSy
Alegria	,alegR'i;&
Aleixo	,al'eISU
Alemanha	,alem'&~n^&
Alencar	,aleINk'ar
Alenquer	,aleINk'Er
Alessandra	,ales'&~NdR&
Alexandra	,aleS'&~NdR&
Alexandre	,aleS'&~NdRy
Alexandria	,aleS&~NdR'i;&
