a	ˈa
à	ˌɐɡɹˈavi
AAC	ɐˈak
Aachen	ˌɐˈaʃeɪŋ
Aalborg	ɐˌɑlbˈoɾəɡ
Aarhus	ˌɐɐɾəˈuʃ
aba	ˈabɐ
abas	ˈabɐʃ
abacate	ˌɐbɐkˈatɨ
abacates	ˌɐbɐkˈatɨʃ
abacateiro	ˌɐbɐkɐtˈeɪɾʊ
abacateiros	ˌɐbɐkɐtˈeɪɾʊʃ
abacaxi	ˌɐbɐkɐʃˈi
abacaxis	ˌɐbɐkɐʃˈiʃ
ábaco	ˈabɐkʊ
ábacos	ˈabɐkʊʃ
abade	ˌɐbˈadɨ
abadessas	ˌɐbɐdˈesɐʃ
abades	ˌɐbˈadɨʃ
abadessa	ˌɐbɐdˈɛsɐ
abadia	ˌɐbɐdˈiɐ
abadias	ˌɐbɐdˈiɐʃ
abafante	ˌɐbɐfˈɐ̃ŋtɨ
abafantes	ˌɐbɐfˈɐ̃ŋtɨʃ
abafar	ˌɐbɐfˈaɹ
abafará	ˌɐbɐfɐɾˈa
abafá	ˌɐbɐfˈa
abafou	ˌɐbɐfˈow
abafarás	ˌɐbɐfɐɾˈaʃ
abafámos	ˌɐbɐfˈamʊʃ
abafássemos	ˌɐbɐfˈasɨmʊʃ
abafaremos	ˌɐbɐfɐɾˈemʊʃ
abafemos	ˌɐbɐfˈemʊʃ
abafaríamos	ˌɐbɐfɐɾˈiɐ̃mʊʃ
abafávamos	ˌɐbɐfˈavɐmʊʃ
abafáramos	ˌɐbɐfˈaɾɐmʊʃ
abafarmos	ˌɐbɐfˈaɾəmʊʃ
abafamos	ˌɐbɐfˈɐ̃mʊʃ
abafados	ˌɐbɐfˈadʊʃ
abafaríeis	ˌɐbɐfɐɾˈieɪʃ
abafáveis	ˌɐbɐfˈaveɪʃ
abafásseis	ˌɐbɐfˈaseɪʃ
abafáreis	ˌɐbɐfˈaɾeɪʃ
abafareis	ˌɐbɐfɐɾˈeɪʃ
abafeis	ˌɐbɐfˈeɪʃ
abafais	ˌɐbɐfˈaɪʃ
abafastes	ˌɐbɐfˈaʃtɨʃ
abafantes	ˌɐbɐfˈɐ̃ŋtɨʃ
abafasses	ˌɐbɐfˈasɨʃ
abafadores	ˌɐbɐfɐdˈoɾɨʃ
abafardes	ˌɐbɐfˈaɾədɨʃ
abafares	ˌɐbɐfˈaɾɨʃ
abafes	ˌɐbˈafɨʃ
abafavas	ˌɐbɐfˈavɐʃ
abafadoras	ˌɐbɐfɐdˈoɾɐʃ
abafarias	ˌɐbɐfɐɾˈiɐʃ
abafadas	ˌɐbɐfˈadɐʃ
abafaras	ˌɐbɐfˈaɾɐʃ
abafas	ˌɐbˈafɐʃ
abafador	ˌɐbɐfɐdˈoɹ
abafarão	ˌɐbɐfɐɾˈɐ̃ʊ̃
abafando	ˌɐbɐfˈɐ̃ŋdʊ
abafado	ˌɐbɐfˈadʊ
abafo	ˌɐbˈafʊ
abafassem	ˌɐbɐfˈaseɪŋ
abafarem	ˌɐbɐfˈaɾeɪŋ
abafem	ˌɐbˈafeɪŋ
abafavam	ˌɐbɐfˈavɐ̃ʊ̃
abafariam	ˌɐbɐfɐɾˈiɐ̃ʊ̃
abafaram	ˌɐbɐfˈaɾɐ̃ʊ̃
abafam	ˌɐbˈafɐ̃ʊ̃
abafarei	ˌɐbɐfɐɾˈeɪ
abafei	ˌɐbɐfˈeɪ
abafai	ˌɐbɐfˈaɪ
abafaste	ˌɐbɐfˈaʃtɨ
abafante	ˌɐbɐfˈɐ̃ŋtɨ
abafasse	ˌɐbɐfˈasɨ
abafe	ˌɐbˈafɨ
abafava	ˌɐbɐfˈavɐ
abafadora	ˌɐbɐfɐdˈoɾɐ
abafaria	ˌɐbɐfɐɾˈiɐ
abafada	ˌɐbɐfˈadɐ
abafara	ˌɐbɐfˈaɾɐ
abafa	ˌɐbˈafɐ
abafo	ˌɐbˈafʊ
abafos	ˌɐbˈafʊʃ
abaixar	ˌɐbaɪʃˈaɹ
abaixará	ˌɐbaɪʃɐɾˈa
abaixá	ˌɐbaɪʃˈa
abaixou	ˌɐbaɪʃˈow
abaixarás	ˌɐbaɪʃɐɾˈaʃ
abaixamentos	ˌɐbaɪʃɐmˈeɪŋtʊʃ
abaixámos	ˌɐbaɪʃˈamʊʃ
abaixássemos	ˌɐbaɪʃˈasɨmʊʃ
abaixaremos	ˌɐbaɪʃɐɾˈemʊʃ
abaixemos	ˌɐbaɪʃˈemʊʃ
abaixaríamos	ˌɐbaɪʃɐɾˈiɐ̃mʊʃ
abaixávamos	ˌɐbaɪʃˈavɐmʊʃ
abaixáramos	ˌɐbaɪʃˈaɾɐmʊʃ
abaixarmos	ˌɐbaɪʃˈaɾəmʊʃ
abaixamos	ˌɐbaɪʃˈɐ̃mʊʃ
abaixados	ˌɐbaɪʃˈadʊʃ
abaixaríeis	ˌɐbaɪʃɐɾˈieɪʃ
abaixáveis	ˌɐbaɪʃˈaveɪʃ
abaixásseis	ˌɐbaɪʃˈaseɪʃ
abaixáreis	ˌɐbaɪʃˈaɾeɪʃ
abaixareis	ˌɐbaɪʃɐɾˈeɪʃ
abaixeis	ˌɐbaɪʃˈeɪʃ
abaixais	ˌɐbaɪʃˈaɪʃ
abaixastes	ˌɐbaɪʃˈaʃtɨʃ
abaixasses	ˌɐbaɪʃˈasɨʃ
abaixadores	ˌɐbaɪʃɐdˈoɾɨʃ
abaixardes	ˌɐbaɪʃˈaɾədɨʃ
abaixares	ˌɐbaɪʃˈaɾɨʃ
abaixes	ˌɐbˈaɪʃɨʃ
abaixavas	ˌɐbaɪʃˈavɐʃ
abaixadoras	ˌɐbaɪʃɐdˈoɾɐʃ
abaixarias	ˌɐbaɪʃɐɾˈiɐʃ
