a	'a
à	,&_|gR'avi_|
AAC	&'ak
Aachen	,&'aSeIN
Aalborg	&,Alb'o*@-g
Aarhus	,&&*@-'us#
aba	'ab&
abas	'ab&s#
abacate	,&b&k'aty
abacates	,&b&k'atys#
abacateiro	,&b&k&t'eI*U
abacateiros	,&b&k&t'eI*Us#
abacaxi	,&b&k&S'i
abacaxis	,&b&k&S'is#
ábaco	'ab&kU
ábacos	'ab&kUs#
abade	,&b'ady
abadessas	,&b&d'es&s#
abades	,&b'adys#
abadessa	,&b&d'Es&
abadia	,&b&d'i;&
abadias	,&b&d'i;&s#
abafante	,&b&f'&~Nty
abafantes	,&b&f'&~Ntys#
abafar	,&b&f'ar-
abafará	,&b&f&*'a
abafá	,&b&f'a
abafou	,&b&f'ow
abafarás	,&b&f&*'as#
abafámos	,&b&f'amUs#
abafássemos	,&b&f'asymUs#
abafaremos	,&b&f&*'emUs#
abafemos	,&b&f'emUs#
abafaríamos	,&b&f&*'i;&~mUs#
abafávamos	,&b&f'av&mUs#
abafáramos	,&b&f'a*&mUs#
abafarmos	,&b&f'a*@-mUs#
abafamos	,&b&f'&~mUs#
abafados	,&b&f'adUs#
abafaríeis	,&b&f&*'i;eIs#
abafáveis	,&b&f'aveIs#
abafásseis	,&b&f'aseIs#
abafáreis	,&b&f'a*eIs#
abafareis	,&b&f&*'eIs#
abafeis	,&b&f'eIs#
abafais	,&b&f'aIs#
abafastes	,&b&f'as#tys#
abafantes	,&b&f'&~Ntys#
abafasses	,&b&f'asys#
abafadores	,&b&f&d'o*ys#
abafardes	,&b&f'a*@-dys#
abafares	,&b&f'a*ys#
abafes	,&b'afys#
abafavas	,&b&f'av&s#
abafadoras	,&b&f&d'o*&s#
abafarias	,&b&f&*'i;&s#
abafadas	,&b&f'ad&s#
abafaras	,&b&f'a*&s#
abafas	,&b'af&s#
abafador	,&b&f&d'or-
abafarão	,&b&f&*'&U~
abafando	,&b&f'&~NdU
abafado	,&b&f'adU
abafo	,&b'afU
abafassem	,&b&f'aseIN
abafarem	,&b&f'a*eIN
abafem	,&b'afeIN
abafavam	,&b&f'av&U~
abafariam	,&b&f&*'i;&U~
abafaram	,&b&f'a*&U~
abafam	,&b'af&U~
abafarei	,&b&f&*'eI
abafei	,&b&f'eI
abafai	,&b&f'aI
abafaste	,&b&f'as#ty
abafante	,&b&f'&~Nty
abafasse	,&b&f'asy
abafe	,&b'afy
abafava	,&b&f'av&
abafadora	,&b&f&d'o*&
abafaria	,&b&f&*'i;&
abafada	,&b&f'ad&
abafara	,&b&f'a*&
abafa	,&b'af&
abafo	,&b'afU
abafos	,&b'afUs#
abaixar	,&baIS'ar-
abaixará	,&baIS&*'a
abaixá	,&baIS'a
abaixou	,&baIS'ow
abaixarás	,&baIS&*'as#
abaixamentos	,&baIS&m'eINtUs#
abaixámos	,&baIS'amUs#
abaixássemos	,&baIS'asymUs#
abaixaremos	,&baIS&*'emUs#
abaixemos	,&baIS'emUs#
abaixaríamos	,&baIS&*'i;&~mUs#
abaixávamos	,&baIS'av&mUs#
abaixáramos	,&baIS'a*&mUs#
abaixarmos	,&baIS'a*@-mUs#
abaixamos	,&baIS'&~mUs#
abaixados	,&baIS'adUs#
abaixaríeis	,&baIS&*'i;eIs#
abaixáveis	,&baIS'aveIs#
abaixásseis	,&baIS'aseIs#
abaixáreis	,&baIS'a*eIs#
abaixareis	,&baIS&*'eIs#
abaixeis	,&baIS'eIs#
abaixais	,&baIS'aIs#
abaixastes	,&baIS'as#tys#
abaixasses	,&baIS'asys#
abaixadores	,&baIS&d'o*ys#
abaixardes	,&baIS'a*@-dys#
abaixares	,&baIS'a*ys#
abaixes	,&b'aISys#
abaixavas	,&baIS'av&s#
abaixadoras	,&baIS&d'o*&s#
abaixarias	,&baIS&*'i;&s#
abaixadas	,&baIS'ad&s#
abaixaras	,&baIS'a*&s#
abaixas	,&b'aIS&s#
abaixador	,&baIS&d'or-
abaixarão	,&baIS&*'&U~
abaixamento	,&baIS&m'eINtU
abaixando	,&baIS'&~NdU
abaixado	,&baIS'adU
abaixo	,&b'aISU
abaixassem	,&baIS'aseIN
abaixarem	,&baIS'a*eIN
abaixem	,&b'aISeIN
abaixavam	,&baIS'av&U~
abaixariam	,&baIS&*'i;&U~
abaixaram	,&baIS'a*&U~
abaixam	,&b'aIS&U~
abaixarei	,&baIS&*'eI
abaixei	,&baIS'eI
abaixai	,&baIS'aI
abaixaste	,&baIS'as#ty
abaixasse	,&baIS'asy
abaixe	,&b'aISy
abaixava	,&baIS'av&
abaixadora	,&baIS&d'o*&
abaixaria	,&baIS&*'i;&
abaixada	,&baIS'ad&
abaixara	,&baIS'a*&
abaixa	,&b'aIS&
abaixo	,&b'aISU
abalada	,&b&l'ad&
abaladas	,&b&l'ad&s#
abalançar	,&b&l&~Ns'ar-
abalançará	,&b&l,&~Ns&*'a
abalançá	,&b&l&~Ns'a
abalançou	,&b&l&~Ns'ow
abalançarás	,&b&l,&~Ns&*'as#
abalançámos	,&b&l&~Ns'amUs#
abalançássemos	,&b&l&~Ns'asymUs#
abalancemos	,&b&l&~Ns'emUs#
abalançaremos	,&b&l,&~Ns&*'emUs#
abalançaríamos	,&b&l,&~Ns&*'i;&~mUs#
abalançávamos	,&b&l&~Ns'av&mUs#
abalançáramos	,&b&l&~Ns'a*&mUs#
abalançarmos	,&b&l&~Ns'a*@-mUs#
abalançamos	,&b&l&~Ns'&~mUs#
abalançados	,&b&l&~Ns'adUs#
abalançaríeis	,&b&l,&~Ns&*'i;eIs#
abalançáveis	,&b&l&~Ns'aveIs#
abalançásseis	,&b&l&~Ns'aseIs#
abalançáreis	,&b&l&~Ns'a*eIs#
abalanceis	,&b&l&~Ns'eIs#
abalançareis	,&b&l,&~Ns&*'eIs#
abalançais	,&b&l&~Ns'aIs#
abalançastes	,&b&l&~Ns'as#tys#
abalançasses	,&b&l&~Ns'asys#
abalançardes	,&b&l&~Ns'a*@-dys#
abalances	,&b&l'&~Nsys#
abalançares	,&b&l&~Ns'a*ys#
abalançavas	,&b&l&~Ns'av&s#
abalançarias	,&b&l,&~Ns&*'i;&s#
abalançadas	,&b&l&~Ns'ad&s#
abalançaras	,&b&l&~Ns'a*&s#
abalanças	,&b&l'&~Ns&s#
abalançarão	,&b&l,&~Ns&*'&U~
abalançando	,&b&l&~Ns'&~NdU
abalançado	,&b&l&~Ns'adU
abalanço	,&b&l'&~NsU
abalançassem	,&b&l&~Ns'aseIN
abalancem	,&b&l'&~NseIN
abalançarem	,&b&l&~Ns'a*eIN
abalançavam	,&b&l&~Ns'av&U~
abalançariam	,&b&l,&~Ns&*'i;&U~
abalançaram	,&b&l&~Ns'a*&U~
abalançam	,&b&l'&~Ns&U~
abalancei	,&b&l&~Ns'eI
abalançarei	,&b&l,&~Ns&*'eI
abalançai	,&b&l&~Ns'aI
abalançaste	,&b&l&~Ns'as#ty
abalançasse	,&b&l&~Ns'asy
abalance	,&b&l'&~Nsy
abalançava	,&b&l&~Ns'av&
abalançaria	,&b&l,&~Ns&*'i;&
abalançada	,&b&l&~Ns'ad&
abalançara	,&b&l&~Ns'a*&
abalança	,&b&l'&~Ns&
abalar	,&b&l'ar-
abalará	,&b&l&*'a
abalá	,&b&l'a
abalou	,&b&l'ow
abalarás	,&b&l&*'as#
abalámos	,&b&l'amUs#
abalássemos	,&b&l'asymUs#
abalaremos	,&b&l&*'emUs#
abalemos	,&b&l'emUs#
abalaríamos	,&b&l&*'i;&~mUs#
abalávamos	,&b&l'av&mUs#
abaláramos	,&b&l'a*&mUs#
abalarmos	,&b&l'a*@-mUs#
abalamos	,&b&l'&~mUs#
abalados	,&b&l'adUs#
abalaríeis	,&b&l&*'i;eIs#
abaláveis	,&b&l'aveIs#
abalásseis	,&b&l'aseIs#
abaláreis	,&b&l'a*eIs#
abalareis	,&b&l&*'eIs#
abaleis	,&b&l'eIs#
abalais	,&b&l'aIs#
abalastes	,&b&l'as#tys#
abalasses	,&b&l'asys#
abalardes	,&b&l'a*@-dys#
abalares	,&b&l'a*ys#
abales	,&b'alys#
abalavas	,&b&l'av&s#
abalarias	,&b&l&*'i;&s#
abaladas	,&b&l'ad&s#
abalaras	,&b&l'a*&s#
abalas	,&b'al&s#
abalarão	,&b&l&*'&U~
abalando	,&b&l'&~NdU
abalado	,&b&l'adU
abalo	,&b'alU
abalassem	,&b&l'aseIN
abalarem	,&b&l'a*eIN
abalem	,&b'aleIN
abalavam	,&b&l'av&U~
abalariam	,&b&l&*'i;&U~
abalaram	,&b&l'a*&U~
abalam	,&b'al&U~
abalável	,&b&l'av,El
abalarei	,&b&l&*'eI
abalei	,&b&l'eI
abalai	,&b&l'aI
abalaste	,&b&l'as#ty
abalasse	,&b&l'asy
abale	,&b'aly
abalava	,&b&l'av&
abalaria	,&b&l&*'i;&
abalada	,&b&l'ad&
abalara	,&b&l'a*&
abala	,&b'al&
abalizar	,&b&liz'ar-
abalizará	,&b&l,iz&*'a
abalizá	,&b&liz'a
abalizou	,&b&liz'ow
abalizarás	,&b&l,iz&*'as#
abalizámos	,&b&liz'amUs#
abalizássemos	,&b&liz'asymUs#
abalizaremos	,&b&l,iz&*'emUs#
abalizemos	,&b&liz'emUs#
abalizaríamos	,&b&l,iz&*'i;&~mUs#
abalizávamos	,&b&liz'av&mUs#
abalizáramos	,&b&liz'a*&mUs#
abalizarmos	,&b&liz'a*@-mUs#
abalizamos	,&b&liz'&~mUs#
abalizados	,&b&liz'adUs#
abalizaríeis	,&b&l,iz&*'i;eIs#
abalizáveis	,&b&liz'aveIs#
abalizásseis	,&b&liz'aseIs#
abalizáreis	,&b&liz'a*eIs#
abalizareis	,&b&l,iz&*'eIs#
abalizeis	,&b&liz'eIs#
abalizais	,&b&liz'aIs#
abalizastes	,&b&liz'as#tys#
abalizasses	,&b&liz'asys#
abalizadores	,&b&l,iz&d'o*ys#
abalizardes	,&b&liz'a*@-dys#
abalizares	,&b&liz'a*ys#
abalizes	,&b&l'izys#
abalizavas	,&b&liz'av&s#
abalizadoras	,&b&l,iz&d'o*&s#
abalizarias	,&b&l,iz&*'i;&s#
abalizadas	,&b&liz'ad&s#
abalizaras	,&b&liz'a*&s#
abalizas	,&b&l'iz&s#
abalizador	,&b&l,iz&d'or-
abalizarão	,&b&l,iz&*'&U~
abalizando	,&b&liz'&~NdU
abalizado	,&b&liz'adU
abalizo	,&b&l'izU
abalizassem	,&b&liz'aseIN
abalizarem	,&b&liz'a*eIN
abalizem	,&b&l'izeIN
abalizavam	,&b&liz'av&U~
abalizariam	,&b&l,iz&*'i;&U~
abalizaram	,&b&liz'a*&U~
abalizam	,&b&l'iz&U~
abalizarei	,&b&l,iz&*'eI
abalizei	,&b&liz'eI
abalizai	,&b&liz'aI
abalizaste	,&b&liz'as#ty
abalizasse	,&b&liz'asy
abalize	,&b&l'izy
abalizava	,&b&liz'av&
abalizadora	,&b&l,iz&d'o*&
abalizaria	,&b&l,iz&*'i;&
abalizada	,&b&liz'ad&
abalizara	,&b&liz'a*&
abaliza	,&b&l'iz&
abalo	,&b'alU
abalos	,&b'alUs#
abalroar	&b,Alxu'ar-
abalroará	&b,Alxu&*'a
abalroá	&b,Alxu'a
abalroou	&b,Alxu'ow
abalroarás	&b,Alxu&*'as#
abalroamentos	&b,Alxu&m'eINtUs#
abalroámos	&b,Alxu'amUs#
abalroássemos	&b,Alxu'asymUs#
abalroaremos	&b,Alxu&*'emUs#
abalroemos	&b,Alxu'emUs#
abalroaríamos	&b,Alxu&*'i;&~mUs#
abalroávamos	&b,Alxu'av&mUs#
abalroáramos	&b,Alxu'a*&mUs#
abalroarmos	&b,Alxu'a*@-mUs#
abalroamos	&b,Alxu'&~mUs#
abalroados	&b,Alxu'adUs#
abalroaríeis	&b,Alxu&*'i;eIs#
abalroáveis	&b,Alxu'aveIs#
abalroásseis	&b,Alxu'aseIs#
abalroáreis	&b,Alxu'a*eIs#
abalroareis	&b,Alxu&*'eIs#
abalroeis	&b,Alxu'eIs#
abalroais	&b,Alxu'aIs#
abalroações	&b,Alxu&s'o~js#
abalroastes	&b,Alxu'as#tys#
abalroasses	&b,Alxu'asys#
abalroardes	&b,Alxu'a*@-dys#
abalroares	&b,Alxu'a*ys#
abalroes	&b,Alx'oys#
abalroavas	&b,Alxu'av&s#
abalroarias	&b,Alxu&*'i;&s#
abalroadas	&b,Alxu'ad&s#
abalroaras	&b,Alxu'a*&s#
abalroas	&b,Alx'o&s#
abalroação	&b,Alxu&s'&U~
abalroarão	&b,Alxu&*'&U~
abalroamento	&b,Alxu&m'eINtU
abalroando	&b,Alxu'&~NdU
abalroado	&b,Alxu'adU
abalroo	&b,Alx'ow
abalroassem	&b,Alxu'aseIN
abalroarem	&b,Alxu'a*eIN
abalroem	&b,Alx'oeIN
abalroavam	&b,Alxu'av&U~
abalroariam	&b,Alxu&*'i;&U~
abalroaram	&b,Alxu'a*&U~
abalroam	&b,Alx'o&U~
abalroarei	&b,Alxu&*'eI
abalroei	&b,Alxu'eI
abalroai	&b,Alxu'aI
abalroaste	&b,Alxu'as#ty
abalroasse	&b,Alxu'asy
abalroe	&b,Alx'oy
abalroava	&b,Alxu'av&
abalroaria	&b,Alxu&*'i;&
abalroada	&b,Alxu'ad&
abalroara	&b,Alxu'a*&
abalroa	&b,Alx'o&
abanadela	,&b&n&d'El&
abanadelas	,&b&n&d'el&s#
abanadura	,&b&n&d'u*&
abanaduras	,&b&n&d'u*&s#
abananado	,&b&n&n'adU
abananadas	,&b&n&n'ad&s#
abananados	,&b&n&n'adUs#
abananada	,&b&n&n'ad&
abanão	,&b&n'&U~
abanões	,&b&n'o~js#
abanar	,&b&n'ar-
abanará	,&b&n&*'a
abaná	,&b&~n'a
abanou	,&b&n'ow
abanarás	,&b&n&*'as#
abanámos	,&b&n'amUs#
abanássemos	,&b&n'asymUs#
abanaremos	,&b&n&*'emUs#
abanemos	,&b&n'emUs#
abanaríamos	,&b&n&*'i;&~mUs#
abanávamos	,&b&n'av&mUs#
abanáramos	,&b&n'a*&mUs#
abanarmos	,&b&n'a*@-mUs#
abanamos	,&b&n'&~mUs#
abanados	,&b&n'adUs#
abanaríeis	,&b&n&*'i;eIs#
abanáveis	,&b&n'aveIs#
abanásseis	,&b&n'aseIs#
abanáreis	,&b&n'a*eIs#
abanareis	,&b&n&*'eIs#
abaneis	,&b&n'eIs#
abanais	,&b&n'aIs#
abanastes	,&b&n'as#tys#
abanasses	,&b&n'asys#
abanadores	,&b&n&d'o*ys#
abanardes	,&b&n'a*@-dys#
abanares	,&b&n'a*ys#
abanes	,&b'&~nys#
abanavas	,&b&n'av&s#
abanadoras	,&b&n&d'o*&s#
abanarias	,&b&n&*'i;&s#
abanadas	,&b&n'ad&s#
abanaras	,&b&n'a*&s#
abanas	,&b'&~n&s#
abanador	,&b&n&d'or-
abanarão	,&b&n&*'&U~
abanando	,&b&n'&~NdU
abanado	,&b&n'adU
abano	,&b'&~nU
abanassem	,&b&n'aseIN
abanarem	,&b&n'a*eIN
abanem	,&b'&~neIN
abanavam	,&b&n'av&U~
abanariam	,&b&n&*'i;&U~
abanaram	,&b&n'a*&U~
abanam	,&b'&~n&U~
abanarei	,&b&n&*'eI
abanei	,&b&n'eI
abanai	,&b&n'aI
abanaste	,&b&n'as#ty
abanasse	,&b&n'asy
abane	,&b'&~ny
abanava	,&b&n'av&
abanadora	,&b&n&d'o*&
abanaria	,&b&n&*'i;&
abanada	,&b&n'ad&
abanara	,&b&n'a*&
abana	,&b'&~n&
abandonar	,&b&~Ndun'ar-
abandonará	,&b&~Nd,un&*'a
abandoná	,&b&~Ndun'a
abandonou	,&b&~Ndun'ow
abandonarás	,&b&~Nd,un&*'as#
abandonamentos	,&b&~Nd,un&m'eINtUs#
abandonámos	,&b&~Ndun'amUs#
abandonássemos	,&b&~Ndun'asymUs#
abandonaremos	,&b&~Nd,un&*'emUs#
abandonemos	,&b&~Ndun'emUs#
abandonaríamos	,&b&~Nd,un&*'i;&~mUs#
abandonávamos	,&b&~Ndun'av&mUs#
abandonáramos	,&b&~Ndun'a*&mUs#
