
//
// Conversão de ortografia em transcrição fonética, baseada em divisão silábica e expressão regular.
//
// Este é um exemplo de TSV que contém exatamente quatro campos, F1 a F4.
//
// F1: expressão regular da sílaba anterior
// F2: expressão regular da sílaba atual
// F3: expressão regular da sílaba posterior
// F4: a tradução da sílaba atual usando caracteres Kirshenbaum (influencia do espeak-ng), que serão no final ser convertidos em caracteres IPA ou SAMPA.
//
// Todo texto numa lina após duas barras é considerado um comentário e é, portanto, ignorado.
//
// Recomenda-se que os parágrafos tenham larguras equivalentes a 8 espaços.
//
// Se o F1 for "%", verifica se a sílaba atual é pós-tônica
// Se o F3 for "%", verifica se a sílaba atual é pré-tônica
//
// Se o F1 for "_", verifica se a sílaba atual é início de palavra
// Se o F3 for "_", verifica se a sílaba atual é fim de palavra
//
// Stress symbol `'` should be placed in the beginning of the syllable, not in the middle of the it (close to the vowel).
//
// Algumas sílabas incluídas neste arquivo são apenas teóricas, não sendo localizadas em nenhuma palavra.
//
// Este arquivo inclui os ditongos crescentes pós-tônicos finais como: bac.té.ria, ci.ên.cia e á.guia, característicos da fala rápida. Nesses casos, evitar usar I ou U, por exemplo, em bac.té.ria, usar [4i6] em vez de [4I6], para melhorar a clareza da palavra falada pelo espeak-ng. Pode ser necessário atualizar as vozes mbrola.
//
// Este arquivo inclui também ditongos crescentes pré-tônicos duvidosos, como "bio" em "au.to.bio.gra.fi.a", que são registrados nos dicionários usados durante a elaboração desta lista de regras, quais sejam: Dicionário Global do Galvão Bueno e Minidicionário da Ciranda Cultural.
//
// References:
//* https://pt.wiktionary.org/wiki/Ajuda:Guia_de_pron%C3%BAncia/Portugu%C3%AAs
//

///////////////////////////////////////////////////////////
//
//      TODO
//
//	// Generic Nucleus
//	
//	-a-		a	// is the nucleous "-x-" necessary?
//	-a-	_	6
//	
//	-e-		e
//	-e-	_	I
//	
//	-i-		i
//	-i-	_	'i
//	
//	-o-		o
//	-o-		U
//	
//	// Generic Onset
//	
//	c-		k	// ca, co
//	c-	^[ei]	s	// ce, ci
//	cr-		k4	// cra, cre, cri...
//	ch-		S	// cha, che, chi...
//	
//	// Generic Coda
//	
//	-s		s	// cas, cras, chas ...
//	-s	^S	z
//	-s	^s		// s.s -> .s
//	-s	_^V	z	// as amigas -> az amigas
//	
//	-ns		ns	// trans.por.te
//	-ns	^S	nz	// trans.ma.ri.no
//	
//	-rs		rs	// pers.pec.ti.va
//	
//	ce+		se	// onset <c> + nucleous <e> and can be combined with a coda "-x"
//	que+		ke	// onset <qu> + nucleous <e> and can be combined with a coda "-x"
//	
//	+am	^[bp]	a~	// nucleus <a> + "coda" <m> before <b> and <p> and can be combined with an onset "x-"
//	+am	_	a~U~	// nucleus <a> + "coda" <m> in the end of word and can be combined with an onset "x-"
//	
///////////////////////////////////////////////////////////

	a		a
	a	_	6
%	a		6
	a	^[mn]	6

	à		a
_	à	_	a

	á		'a

	â		'6

	ã		'6~
%	ã		6~

	ab		ab

	abs		abs

	ac		ak

	ad		ad

	ads		ads

	ae

	af		af	// af.ta

	ag		ag	// a

	ai		aI	// ag.nós.ti.co

	ais		aIs
	ais	_	'aIs

	al		aw
	al	_	'aw

	ál		'aw

	am		6~
	am	_	6~U

	âm		'6~	// âm.bar

	an		6~
	an	_	'6~

	ân		'6~	// ân.sia

	ão	_	'6~U
%	ão	_	6~U

	ap		ap	// ap.to

	áp		'ap	// áp.te.ro

	ar		a4
	ar	_	'a4

	ár		'a4

	as		as
	as	_	6s
	as	^S	az

_	as	_^V	6z	// <as a.mi.gas> -> [əz a.'mi.gəs]

	ás		'as
	ás	^S	az

	at		at	// at.mos.fe.ra

	au		aU	// áu.re.o, au.gú.ri.o

	aus		aUs

	áu		'aU	// áu.di.o, áu.gu.re

	ba		ba
	ba	_	b6
%	ba		b6
	ba	^[mn]	b6

	bá		'ba

	bac		bak	// bac.té.ri.a

	bai		baI
	bai	_	'baI

	bais		baIs
	bais	_	'baIs

	bal		baw
	bal	_	baws

	bál		'baw

	bam		b6~
	bam	_	b6~U

	ban		b6~

	bão	_	'b6~U

	bar		ba4
	bar	_	'ba4

	bár		'ba4

	bas		bas
	bas	_	b6s
	bas	^S	baz

	bás		'bas

	bau		baU

	baz	_	'bas	// ca.baz

	be		be
	be	_	bI
_	be	la	bE	// be.la, be.la.do.na

	bé		'bE
	bê		'be

	bei		beI
	bei	_	'beI

	beis		beIs
	beis	_	'beIs

	bel		bew
	bel	_	'bEw
_	bel	^.*_	bEU	// bel.ga

	bem		be~

	bém	_	'be~I	// tam.bém

	ben		be~
	ben	_	'be~

_	bens	_	'be~Is	// bens

	béns	_	'be~Is	// pa.ra.béns

	bên		'be~

	ber		be4
	ber	_	'be4

	bér		'bE4	// tu.bér.cu.lo

	bes		bes
	bes	_	bIs
	bes	^S	bez

	bi		bi
	bi	_	'bi

	bí		'bi

%	bia		bi6	// lá.bia, tí.bia

	bim		bi~	// re.bim.bo.ca
	bim	_	'bi~	// que.ru.bim

	bin		bi~	// bin.go

	bil		biw	// bil.tre
	bil	_	'biw	// man.ce.bil
%	bil	_	biw	// há.bil

	bio		bio	// au.to.bio.gra.fi.a
%	bio	_	biU	// an.fí.bio

	bir		bi4
	bir	_	'bi4

	bis		bis
	bis	_	bIs
	bis	^S	biz

	bla		bla
	bla	_	bl6
%	bla		bl6
	bla	^[mn]	bl6

	blan		bla~	// blan.dí.ci.a
	blan	_	'bla~

	blar	_	'bla4	// dri.blar, du.blar

